"br","bc","kappa","phi","nll"
35,27,1.82,15344343022.0245,-22104.1355663763
36,27,1.62,470883857.285947,-21831.7163354464
37,27,1.49,14224192.4181297,-24701.9802818271
38,27,1.6,232133727.958045,-22696.2844672936
39,27,1.57,55684733.145654,-24906.3963394608
40,27,1.75,1848512845.48442,-24252.5404530745
1,28,2.12,3591649626172084,-4609.86059378508
2,28,2.11,1085670963674614,-7150.85434314175
3,28,2.06,2316125201313125,-3045.05474955305
4,28,2.06,580416957947171,-6496.51172022264
5,28,2.01,215246178390108,-6751.32465506173
6,28,1.7,413811858231.112,-8517.55865163203
7,28,2.04,364684377942044,-6768.22042881955
8,28,1.86,21838542014863.2,-5781.40013512435
9,28,1.84,27165609279148.1,-4344.587583719
10,28,2.02,507040366459183,-5058.52111883648
11,28,2,252003085884246,-5913.92238339513
12,28,2.03,313583873433069,-6700.89949021576
13,28,2.29,11610473230410956,-9194.58046389106
14,28,2.01,369518768455651,-5403.51930885363
15,28,1.99,395541904990279,-4345.26262256477
16,28,2.18,10852859820913094,-4506.65070977759
17,28,1.88,94066224195918,-3031.25001940696
18,28,2.02,1348095570882165,-2619.74434286001
19,28,2.17,12234897185069848,-3765.55259582377
20,28,2.04,1212476722422561,-3771.95835006287
21,28,1.85,27167017017464.1,-4790.74293513123
22,28,2.14,193746735851499,-12777.2470322043
23,28,2.2,1343479441522776,-10601.0005175424
24,28,2.11,445704389879775,-9371.25642095892
25,28,1.87,1372496879196.02,-13128.4240989874
26,28,1.51,1677527434.69774,-13708.311171933
27,28,1.87,2777589588192.36,-11370.2741192531
28,28,1.64,20452168122.1614,-13325.0691145073
29,28,1.84,125893380326.458,-17748.0212701493
30,28,1.68,40085092226.103,-13442.5889953623
31,28,1.76,87908192781.6133,-15068.4730034148
32,28,1.91,188112026300.483,-19867.5973142847
33,28,1.6,585362513.282683,-20389.5396813001
34,28,1.92,186511675972.194,-20334.2570070611
35,28,1.75,8525568860.98023,-20439.9918303951
36,28,1.82,26407660343.3505,-20750.1248618259
37,28,1.88,210322456773.16,-18252.4125057419
38,28,1.94,154900949487.646,-21687.7247111257
39,28,1.57,88783100.6713939,-23742.969517515
40,28,1.57,68207818.3210296,-24400.4805140375
1,29,2.2,11603374611863984,-5223.85390667758
2,29,2.02,352827349151304,-5962.87489138845
3,29,2.06,2469979288954772,-2884.65526437205
4,29,2.16,5251796342973494,-5432.50949312012
5,29,2.1,1182725520568662,-6494.32943946021
6,29,2.18,6078750283710479,-5952.24666734441
7,29,2.17,6284766303817391,-5426.96470232829
8,29,2,350053825887503,-5094.28026223151
9,29,2.04,1135110083734454,-3936.40151035348
10,29,1.99,404322560177530,-4290.50376095474
11,29,2.05,438893395563174,-6749.97681088984
12,29,2.1,2335185310570063,-4797.73677815226
13,29,1.99,253523603408885,-5454.59334188956
14,29,2.08,1358509000431806,-5262.42552607185
15,29,2.03,623694101081238,-4986.04214320883
16,29,1.96,286050845780718,-3819.79963936225
17,29,1.82,27018344120117.6,-3465.16558107879
18,29,2.07,2118176764834060,-3711.33019685152
19,29,2.1,4037827085308291,-3431.98385331381
20,29,1.98,492761436155450,-3352.7081387971
21,29,2.07,1419891087235023,-4708.86917497737
22,29,2,47302892310208.4,-10086.0598919808
23,29,1.84,631967097631.561,-13724.1967538894
24,29,1.95,2912908632338.6,-14814.9876565665
25,29,1.83,454478794950.403,-14100.0129571717
26,29,1.83,106899654674.38,-17709.4810658819
27,29,1.92,450708334362.636,-18133.7345198012
28,29,1.65,67475303403.5241,-10797.2209082461
29,29,1.8,1387361023852.45,-9976.6023635234
30,29,1.83,1253233921606.26,-11570.2705205208
31,29,1.79,103315921873.098,-16007.4622661405
32,29,2.12,8466087831191.59,-19699.3047166306
33,29,2.02,618001251635.701,-21792.9005236233
34,29,1.99,747644016550.436,-19985.3487723092
35,29,2.02,1115698340975.27,-20319.5816958903
36,29,1.84,151368466277.725,-17288.4227662093
37,29,1.71,3368456724.03777,-20964.3521230902
38,29,1.87,27539819147.4247,-22876.8565081426
39,29,1.79,5239220533.09511,-23443.6194599887
40,29,1.52,21588553.0076952,-25015.7412615219
1,30,2.01,434154069912227,-5001.49165246489
2,30,2.03,682773654289475,-4760.32671394336
3,30,1.85,39936984041228.2,-3829.8067676043
4,30,2.14,5302583789856739,-4523.60924972441
5,30,1.97,120801268979883,-6414.39020681586
6,30,2.2,8811255227389803,-5910.36746842747
7,30,2.21,15400888101153782,-4959.54286802551
8,30,1.88,39087883346842.4,-5221.44719231027
9,30,2.19,11553051448384852,-4792.76606807782
10,30,1.85,25476657773893.1,-4950.95993005564
11,30,2.24,36890169773824880,-4105.74141888242
12,30,2.26,38165720000069320,-4903.57129106433
13,30,2.09,1104778927347405,-6221.26128246948
14,30,2.05,1383281950242827,-3886.97048020843
15,30,2.08,2623392078302474,-3621.17302934636
16,30,1.9,101790171721402,-3725.79864134782
17,30,1.8,11416958399120.3,-4720.00746638341
18,30,1.93,198058849221909,-3401.72077332225
19,30,1.93,342128558987572,-2038.44459482613
20,30,1.93,304109683437017,-2332.23313799962
21,30,2.02,1098012519735469,-3131.49110319743
22,30,1.84,17800987886563.5,-5398.79603054281
23,30,2.15,420781040336754,-11285.5058585183
24,30,1.61,78368861685.4077,-8626.33994332843
25,30,1.88,884948038303.923,-14668.8161580753
26,30,1.88,315840820405.445,-17238.3608539375
27,30,1.9,48106627250.8229,-22822.9773609323
28,30,2.02,10499535130481.7,-14728.4066504932
29,30,2.03,121522093954895,-9065.13859970636
30,30,1.75,484018663312.69,-10366.591860116
31,30,1.78,67396034941.8288,-16625.7981922815
32,30,1.79,9139652840.23838,-22055.8339874124
33,30,1.69,568371806.741113,-24505.5779229046
34,30,1.93,163844528468.757,-21102.6401212045
35,30,1.86,52034484588.192,-20843.9755004054
36,30,1.78,39652865128.4463,-17948.6731080699
37,30,1.87,483842509397.098,-15728.7369333856
38,30,1.68,911219761.849324,-22879.8243403378
39,30,1.72,1734261776.84645,-23068.1711149606
40,30,1.41,2649823.51527286,-25273.8608459607
1,31,2.14,3815838580330712,-5344.21944054434
2,31,1.84,35177743787835.4,-3699.98386625177
3,31,1.89,64090499034766,-4433.95207788535
4,31,1.9,48174779180248.9,-5591.50498352796
5,31,2.21,9510063656149556,-6161.83693670278
6,31,1.99,367941784433633,-4525.65864272877
7,31,2.04,833123313111906,-4707.80381367788
8,31,2.14,2414975179582332,-6485.1532181228
9,31,1.97,256557237368542,-4535.89694403142
10,31,2.05,1160711459500150,-4324.48231621239
11,31,2.2,19264307303892412,-3959.50052844266
12,31,1.89,121809696213681,-2832.39549130565
13,31,2.09,2188920274139542,-4515.95599250628
14,31,1.96,317135200346375,-3562.52207849447
15,31,2,631791428136210,-3621.6421215775
16,31,1.91,97996110771194.4,-4266.0176843934
17,31,1.99,302418830980731,-5014.76151445841
18,31,2.03,1253916593720899,-3244.31439316703
19,31,2.22,25445139453057848,-4149.00572859991
20,31,1.98,410797236092211,-3806.43009807225
21,31,2.04,686759259731615,-5189.63927119276
22,31,1.83,21925351356004.3,-4432.65147839364
23,31,2.08,427657521722560,-8145.04150825874
24,31,2.13,1396812377932787,-7407.98398276595
25,31,2.14,875750234863586,-9014.97543338627
26,31,1.81,311589322354.657,-14148.1575062248
27,31,1.52,1644538153.86119,-14209.1104579423
28,31,2.06,5636049215891.68,-18055.1128694004
29,31,1.81,855784744699.042,-11628.3874237388
30,31,1.86,231283055372.621,-17123.5868033041
31,31,1.84,16907084824.7577,-22755.2315704276
32,31,1.86,21854992422.0372,-23007.4638426239
33,31,1.92,49845486518.1305,-23625.2543412744
34,31,1.83,11497592410.2401,-23270.4848729142
35,31,2.08,5797289954167.72,-18871.5662487024
36,31,1.8,133461476565.287,-15815.918804863
37,31,2.17,58378453166791,-17096.2337500165
38,31,1.82,40568409467.8605,-19679.362026989
39,31,1.75,1738171953.42602,-24406.0398907187
40,31,1.51,9278539.18504706,-26670.5571998672
1,32,2.1,2430367056107266,-4698.09886508643
2,32,2,358922424714229,-5031.88201060942
3,32,1.97,244631243951594,-4654.61093845037
4,32,2.03,672126190964543,-4799.52565589166
5,32,2.16,6914329843317834,-4746.5949775834
6,32,2.03,285432838047122,-6935.48539208027
7,32,2.2,13588537894351082,-4829.97482847134
8,32,2.21,14162863630661984,-5168.54474437528
9,32,1.86,41956474351106.5,-4152.92696114705
10,32,2.03,686389956596235,-4747.15213224347
11,32,2.05,492347312301600,-6463.34678321052
12,32,1.94,263142709422037,-3138.1859358621
13,32,2.09,1879286250444250,-4896.331759451
14,32,2.16,5021102305704242,-5544.54168459737
15,32,2.1,3224308665194150,-3993.10426754662
16,32,2.04,968209489129872,-4333.03838431617
17,32,2.02,681968988983001,-4319.31556167673
18,32,1.99,598231331674300,-3313.44298389481
19,32,1.99,458771147036444,-3975.41549279535
20,32,1.99,597180553820815,-3317.82748211396
21,32,1.9,77633243716956.7,-4401.46768595435
22,32,1.92,135973402610980,-3894.50549725846
23,32,1.99,342958067849115,-4701.02810011568
24,32,2.12,300068931244825,-10800.8531227093
25,32,2.13,539282906145913,-9781.54308935415
26,32,1.96,35117274699591,-9050.90580935031
27,32,1.93,17249728357205,-9488.99568867251
28,32,2.3,3648442280359133,-12522.456026156
29,32,1.69,10862057783.7951,-17147.6412932705
30,32,1.94,394244426423.674,-19357.8667936564
31,32,1.94,167141100093.658,-21498.0498027225
32,32,1.92,148604749169.662,-20900.9031637543
33,32,1.82,50305346802.9397,-19142.8485123935
34,32,1.75,4526537744.12511,-22018.9741488286
35,32,1.81,10699490858.07,-22556.653290082
36,32,1.68,1315300473.49347,-21964.4357686152
37,32,1.85,30434315114.118,-21735.4481771558
38,32,1.7,2543512538.63945,-21216.6709763588
39,32,1.72,1044778945.16127,-24332.0717226563
40,32,1.5,18953450.9555953,-24437.7035068031
1,33,2.07,1833478788311044,-4071.31555989584
2,33,1.92,109666077811230,-4430.7633945101
3,33,1.87,42193619924171.1,-4584.88441742184
4,33,1.86,34572645103279.4,-4635.69051753789
5,33,2.03,307822629311246,-6747.14604376681
6,33,2.03,611759424721594,-5034.2285106444
7,33,2.11,1288643345967651,-6723.40319487416
8,33,2.12,2424580841754273,-5589.88523155441
9,33,1.9,99004483904021.7,-3795.00318439359
10,33,2.25,12627650871258562,-7220.80939643615
11,33,2.1,1508036018667471,-5888.32081893239
12,33,1.99,351852262667034,-4637.17374266022
13,33,2.1,1872309565345873,-5348.70756606673
14,33,2.18,11227815855506504,-4421.94041690198
15,33,1.91,112778763846749,-3915.61002174928
16,33,1.87,50471881353587.4,-4138.09091817353
17,33,1.9,72818566849629.8,-4561.14546741765
18,33,2.08,1888044901929230,-4441.51526275292
19,33,2.15,6059375819932936,-4633.38568140339
20,33,1.95,205170764981281,-4203.78949894814
21,33,1.93,189375444193962,-3513.53348469143
22,33,2.11,2681920386465173,-4895.44309140266
23,33,1.81,14560821892332.6,-4560.21462218068
24,33,2.13,1476933184088214,-7268.88113964396
25,33,2.24,9031701287161526,-7615.30909318355
26,33,1.86,4492722037213.01,-9724.95690099408
27,33,1.98,13484975512813.1,-12327.2399794534
28,33,1.94,26048929700053.9,-8906.10918041861
29,33,1.98,6031978364424.88,-14333.6657148902
30,33,1.9,126173805333.675,-20418.1617645507
31,33,1.85,33827621949.6557,-21471.8150993875
32,33,1.73,11432042418.8636,-18812.864046628
33,33,1.9,137839776287.366,-20197.6133407394
34,33,1.59,475936383.622165,-20455.7121373687
35,33,1.66,526243013.709363,-23351.5013843753
36,33,1.71,1281695193.66669,-23374.2323021232
37,33,1.5,17612248.4133228,-24620.7417353502
38,33,1.79,4347425399.39515,-23908.9722423529
39,33,1.57,35374441.0310617,-26037.9652007384
40,33,1.3,218133.458398002,-26505.9476247133
1,34,2.09,644881455821206,-7563.86632263107
2,34,2.03,628258815752058,-4967.85543876667
3,34,2,249737719405051,-5936.44342346693
4,34,1.98,234016519088610,-5209.82395646498
5,34,2.08,981573044649406,-6072.94216064842
6,34,2.12,2848114643412654,-5188.35475792438
7,34,2.08,738272187291038,-6783.34274330344
8,34,1.89,19766138585069.2,-7367.7086997494
9,34,1.96,282904508192368,-3847.38368750185
10,34,2.06,825947539544095,-5616.66712289535
11,34,2.24,22390648356078640,-5350.99992396349
12,34,2.18,5202306905306264,-6340.55490195092
13,34,2.18,5267615860046932,-6309.44050896632
14,34,2,347957128247375,-5109.26334984934
15,34,1.89,62954895441918.7,-4478.53883059238
16,34,1.96,363452574890643,-3222.53840727742
17,34,1.82,16706709989738.8,-4664.04537902203
18,34,2.14,2504134730131749,-6394.73512284399
19,34,2.14,3240545371092750,-5751.78595739504
20,34,1.94,128308432055118,-4929.52516759507
21,34,2.02,1241751608019821,-2824.67616895626
22,34,2.1,2333582441839637,-4799.44924490267
23,34,2.04,628696601663126,-5409.94680673112
24,34,2.12,2687513957364292,-5333.10816363676
25,34,2.11,2572732356499457,-4999.10518423771
26,34,2.18,1885755146358439,-8871.40079411765
27,34,1.96,1653857645297.5,-16671.528913806
28,34,1.88,815874385747.881,-14871.4998604816
29,34,2,5793558011047.26,-15323.0230162665
30,34,1.93,962989323459.221,-16685.4560074254
31,34,1.8,70531331632.8623,-17406.4818691404
32,34,1.91,131394362337.542,-20762.5304809511
33,34,1.93,73641132032.7938,-23097.1274663823
34,34,1.67,500737893.663226,-23924.2703260403
35,34,1.35,467585.653290283,-26878.051242807
36,34,1.43,4007803.04042722,-25147.8328797525
37,34,1.62,109180755.438545,-25476.9633469157
38,34,1.41,1648111.90778675,-26458.1684331732
39,34,1.04,1282.22345289597,-27404.2276773159
40,34,1.6,110921174.225219,-24538.0880351429
1,35,1.87,19036276768373.7,-6569.91528360661
2,35,2.03,991712754478382,-3829.39108959778
3,35,1.93,188182235582196,-3529.29728632787
4,35,2.18,6540757906031505,-5769.55139805042
5,35,2.12,1332502720021472,-7082.79298895178
6,35,2.08,509132399053799,-7710.12430476671
7,35,2.22,3323677480445981,-9225.42525085373
8,35,2.1,1325616425714422,-6209.87367585189
9,35,2.19,9075088544551340,-5394.85871847291
10,35,1.97,257747451418864,-4524.35359548559
11,35,2.11,1712357088190945,-6014.40677908545
12,35,2.27,20426031249234728,-6903.77537235389
13,35,2.13,2312906220041392,-6150.2296801897
14,35,2.19,11568275582771966,-4789.48174130908
15,35,1.98,262055613306869,-4927.590350435
16,35,1.96,385777950356443,-3073.86327275231
17,35,1.73,3218532236266.88,-4746.05421943218
18,35,2.1,2972955539383447,-4195.52222267361
19,35,1.75,4065292380450,-5059.06686706921
20,35,1.92,176367341550203,-3245.79192976223
21,35,2.24,17413811720275934,-5977.94094368107
22,35,2.06,1072791191750279,-4964.51639667861
23,35,2.19,11442703462459390,-4816.70178929064
24,35,1.93,172987704338580,-3739.26792631058
25,35,1.88,74669375738552.8,-3607.18695088985
26,35,2.11,850841531272103,-7758.71092275476
27,35,1.89,1103102695880.16,-14565.0022872734
28,35,1.66,10037303415.909,-15998.4395288558
29,35,1.86,103566390921.132,-19127.3398343828
30,35,1.91,453488795543.766,-17673.0446799339
31,35,1.78,24681726362.4195,-19131.0786565001
32,35,2,561204398940.773,-21145.0582781899
33,35,1.76,4863817418.25574,-22287.2796856686
34,35,1.72,1822182203.8942,-22944.835427803
35,35,1.38,1052133.16043731,-26217.3199322483
36,35,1.34,478532.509231608,-26365.9886184238
37,35,1.34,358452.21182397,-27086.5770397887
38,35,1.09,3317.3940847655,-27337.0363577959
39,35,1.44,3257376.93855321,-26117.5516643737
40,35,1.52,15389309.8931515,-25859.935609013
1,36,2,209908441813693,-6369.75048587933
2,36,1.97,281805164160895,-4301.79978493652
3,36,2.06,1832720539076768,-3628.88548796382
4,36,2.08,2269142883585280,-3982.96761064483
5,36,2.05,174891127717133,-9044.68849323121
6,36,1.99,102768973606650,-7706.60908750654
7,36,2.08,342182688894295,-8701.1484404384
8,36,2.17,4987625437720840,-6003.49950464173
9,36,2.14,4633395608845605,-4860.06036729347
10,36,2.06,807800688440170,-5672.07358918323
11,36,2.17,6138870918181802,-5485.54333160598
12,36,2.06,887448694035908,-5437.54941438258
13,36,2.11,2681429519788027,-4895.8996051553
14,36,2.26,25553100453513652,-5904.11189854084
15,36,1.94,180558506379036,-4077.53020116607
16,36,1.89,84393396639331.1,-3747.62066676091
17,36,1.88,39838358477404.3,-5174.01705137128
18,36,2.01,553359906755961,-4396.42444511804
19,36,1.93,101531988483086,-5068.18737784961
20,36,1.9,46989571608403.6,-5653.63035935098
21,36,1.98,162896930783247,-6113.33539461956
22,36,1.98,196447268008548,-5646.26814084867
23,36,1.89,82687883162317.6,-3798.5383801221
24,36,1.98,411049293158657,-3804.9002982348
25,36,1.76,12860104229512.8,-2634.40631438672
26,36,1.99,387662436267615,-4395.44635368796
27,36,1.93,4285137820929.47,-12962.249028675
28,36,1.92,723047151558.787,-16954.9354063745
29,36,1.85,161821811809.621,-17568.1611166532
30,36,1.94,181748484204.32,-21289.0889902972
31,36,2.01,1211280937501.98,-19670.5039392104
32,36,1.88,127395355764.696,-19502.7708587194
33,36,1.94,87046123141.4593,-23125.1359942885
34,36,1.8,5173493211.13877,-23922.0790697124
35,36,1.21,38208.6676158239,-26744.8897205073
36,36,1.62,119711390.73475,-25247.3184376463
37,36,1.41,1338579.9558455,-26976.972849044
38,36,1.2,30333.8886089535,-26863.2178464393
39,36,1.29,189256.154245628,-26404.7625683909
40,36,0.88,49.9589101160843,-28077.0080380697
1,37,1.99,199851812500893,-6047.8679931642
2,37,2.05,1016926314122946,-4654.31003525913
3,37,1.93,110088996803315,-4866.38488344589
4,37,1.99,254062767045012,-5449.29503329618
5,37,2.02,388675359221309,-5721.54148085488
6,37,2.16,2120537825161854,-7694.31916809018
7,37,2,227318064327201,-6171.03166611765
8,37,2.09,1542118349406999,-5389.48291916291
9,37,1.9,87012166162478.5,-4117.02145935356
10,37,2.09,854790604060481,-6861.08201043049
11,37,2.23,11850754865883354,-6496.33946754145
12,37,2.11,2089352513248218,-5518.14222890692
13,37,1.92,85222989421497.2,-5059.67254694151
14,37,2.17,6434075903422838,-5368.40666024294
15,37,2.06,1355821483297352,-4380.56203646748
16,37,1.94,139762994450539,-4716.26048319679
17,37,2.04,270937217238588,-7509.30040348451
18,37,1.86,46538597395854.3,-3894.42569707747
19,37,2.03,577811621272563,-5176.6139823292
20,37,2.15,5748469610325246,-4764.75246789158
21,37,1.94,207773139578933,-3727.39268019874
22,37,1.93,43946854168637.1,-7156.6451762637
23,37,1.8,8737013243271.38,-5387.2308573867
24,37,2,367362744705708,-4973.91275376864
25,37,2.09,2613758543824188,-4073.56816804325
26,37,1.81,18009773593981.8,-4030.03985737938
27,37,2.09,477535180406505,-8313.13544314171
28,37,1.82,374282871823.808,-14137.6387063413
29,37,1.76,48217091977.6004,-16566.3181330373
30,37,1.9,827800765964.18,-15726.6680854901
31,37,2.05,1485148485556.54,-20937.6988385125
32,37,1.82,35412441248.2099,-20018.3626325107
33,37,1.9,47957468407.9666,-22830.7222410664
34,37,1.75,4245072537.8175,-22179.0850704969
35,37,1.55,70107893.0460059,-23430.9188533451
36,37,1.82,5624234700.76656,-24607.2685637097
37,37,1.27,80067.2441234572,-27638.8735464382
38,37,1.37,662121.723558087,-26918.5851360754
39,37,0.93,162.566353628681,-27462.047244099
40,37,0.82,15.3613372715785,-28213.2455594761
1,38,1.94,153204519384883,-4487.24727340411
2,38,2.03,637538869402237,-4931.28582143522
3,38,1.68,1313794353548.87,-4739.35156047593
4,38,2.09,2088584279713009,-4632.97930692467
5,38,1.81,12943258826577.2,-4853.90654370016
6,38,2.19,8100031369712918,-5678.33973376655
7,38,2.08,507779323362846,-7716.76120881713
8,38,2.1,1093270186310261,-6690.47795706529
9,38,2.05,1373825463934226,-3904.07867789056
10,38,2.19,5120610011505152,-6822.07406672965
11,38,2.06,417752453066822,-7316.68282083487
12,38,2.05,410388348372735,-6917.45551083468
13,38,1.95,93438193693986,-6165.42635575085
14,38,2.06,682443889306430,-6092.64939181438
15,38,1.99,131066496134912,-7100.01515484258
16,38,2.34,56240691084713528,-7462.63300605149
17,38,2.17,3222571588731493,-7092.82947671815
18,38,2.01,491685400403485,-4691.13926264374
19,38,2.18,4410537474431091,-6752.32827963711
20,38,1.95,157011664441588,-4870.99069849579
21,38,1.9,63556099333637.7,-4900.44915914924
22,38,1.83,17806351281676.7,-4951.62383889777
23,38,2.03,342317919364562,-6482.24295116239
24,38,1.91,149785992867690,-3207.86393980854
25,38,1.93,154667004912409,-4018.46142063863
26,38,1.97,247746062265677,-4623.05602961211
27,38,2.02,446968943384141,-5373.01827074141
28,38,1.82,2047183944628.56,-9899.81248560634
29,38,1.68,84055594583.274,-11595.8470390195
30,38,1.9,581500884937.068,-16607.4491525247
31,38,1.83,53978870546.6661,-19413.6260380726
32,38,1.87,124550352274.885,-19113.2181117251
33,38,2.05,3290463899697.46,-18953.6874206762
34,38,1.79,19591014246.3786,-20154.2871739762
35,38,1.93,46262250015.3265,-24256.531788495
36,38,1.68,234357470.723402,-26266.5179645268
37,38,0.96,257.270909974801,-27709.82684264
38,38,1.04,1472.07780095312,-27059.8580794978
39,38,0.99,521.248026801601,-27338.6516035125
40,38,0.77,6.70899997299751,-27930.8248653596
1,39,1.88,62653562318667.2,-4044.7580148205
2,39,2.1,2281391437554237,-4855.86122799496
3,39,1.86,16576614446305.8,-6468.95467754685
4,39,2.15,6659654441469853,-4397.80043928076
5,39,2.06,1044519884859954,-5031.12241494039
6,39,2.16,7918101097132827,-4408.51988562335
7,39,2.09,653802255048470,-7529.60267086537
8,39,2.35,52405356436369656,-8079.04520794674
9,39,2.25,17238924943605888,-6444.47462755216
10,39,2.14,1780182881310084,-7245.75565095078
11,39,2.28,11197039660075644,-8844.09465783616
12,39,2.07,308581373711270,-8515.58574527087
13,39,2.18,3473058940048849,-7348.29654917988
14,39,2.04,325288631874341,-7053.33295069897
15,39,2.23,8918595716545890,-7205.26660914923
16,39,2.2,12673920610458020,-5003.75736844502
17,39,1.89,15790882318972.1,-7927.70546459626
18,39,2.05,612646260804869,-5918.15010237614
19,39,2.04,779735632221426,-4872.97329569508
20,39,2.09,1725133979192771,-5109.78657087476
21,39,2.18,3879488055946689,-7072.29191382707
22,39,2.02,117552928026321,-8704.00574531301
23,39,2.06,439023885120978,-7192.81885935435
24,39,1.92,51875846926638.7,-6297.73884344826
25,39,1.89,60047131683395.9,-4596.47695488836
26,39,2.06,1007187150473810,-5121.89377338091
27,39,2.15,7873806174481478,-3980.12033618479
28,39,2.1,938563705852881,-7071.00729052271
29,39,1.79,839484533905.654,-10782.5408535977
30,39,1.92,3395841413661.83,-13097.1353713736
31,39,1.78,69789483513.9252,-16538.7647126616
32,39,1.9,469409555653.371,-17141.5064649053
33,39,1.97,497197606818.32,-20113.7190269808
34,39,1.92,301561351637.067,-19135.94078338
35,39,2.11,2985234175213.98,-21856.1648917584
36,39,1.64,1579657543.58709,-19711.9058759245
37,39,1.74,4189303525.63636,-21764.3830931677
38,39,1.61,81970239.2383664,-25742.2272635575
39,39,1.03,1323.63401523099,-26863.4268866592
40,39,0.83,20.180658106799,-28001.1681840847
1,40,1.99,404125136591064,-4291.72183464436
2,40,1.84,27931949215145.6,-4275.2061042671
3,40,1.94,62532035425905,-6722.10761615033
4,40,1.94,174533522975553,-4162.17164395089
5,40,2.01,536760189140482,-4472.384692391
6,40,2.14,2183132327452003,-6736.86843939294
7,40,1.96,108377587660832,-6240.3470141085
8,40,1.98,119331125339315,-6889.50680049922
9,40,2.27,8972081609700970,-8955.57025878111
10,40,2.19,5179318798903454,-6793.64254954552
11,40,2.05,503515812762301,-6407.40454112003
12,40,2.18,1807977042495550,-8976.44753708728
13,40,1.97,85110922404368.5,-7287.76759588829
14,40,2,160047352975832,-7046.12756741846
15,40,2.05,292964354017467,-7758.06559201796
16,40,1.97,170352153153732,-5557.1500493543
17,40,2.14,2121384133358675,-6808.42609845453
18,40,2.12,909058102869236,-8036.51152195541
19,40,2.13,1601609433964354,-7066.76424978116
20,40,1.99,128612643871243,-7147.15093719603
21,40,1.95,40273925154478.8,-8264.36664672234
22,40,1.97,25030867703020.5,-10340.0385319078
23,40,2.08,286245357576190,-9146.31605740167
24,40,2.09,875739926842915,-6800.69571549857
25,40,1.83,18728752445746.4,-4825.66511777
26,40,2.05,1297155464356460,-4047.29761376606
27,40,1.96,315963670121960,-3571.75223147994
28,40,1.98,172292104049219,-5973.48773296122
29,40,2.12,223267020096459,-11538.1886711086
30,40,1.87,708087851544.813,-14779.0000102918
31,40,1.89,1260966521807.18,-14231.4256327591
32,40,1.97,1734146878566.41,-16998.0064456014
33,40,2.06,12487048746467.6,-16071.1142202601
34,40,2.01,3697464485830.22,-16887.2775401484
35,40,1.85,387864061770.852,-15388.0082733535
36,40,1.5,1791242248.99561,-13093.2990071711
37,40,1.95,1090128230789.5,-17266.2324652664
38,40,1.84,57270571065.8359,-19712.4165369349
39,40,1.67,520130871.837632,-23829.5041653016
40,40,0.85,30.3693200712725,-27917.6089899015
