"br","bc","kappa","phi","nll"
27,17,2.07,297241594822376,-8608.96190836858
28,17,2.22,9306716152362272,-6657.44208337287
29,17,1.96,111907190454773,-6160.41790700643
30,17,2.13,1000650585839122,-8239.83871190496
31,17,1.95,65155234889291.5,-7064.5820306149
32,17,2.13,1189724390165682,-7808.19888697105
33,17,1.83,1694855498346.29,-10817.4063969357
34,17,2.02,144166159964656,-8195.0356134696
35,17,1.92,45226530620964.1,-6639.83940044486
36,17,2.11,472139024793817,-9227.55823389634
37,17,1.89,64685973620027.6,-4410.88692987832
38,17,1.97,311261562828868,-4053.8521114199
39,17,2.1,1195123080270440,-6468.32291065439
40,17,1.95,215451501879052,-4081.84985157386
1,18,1.84,1074308869639.36,-12400.8916024285
2,18,2.08,72788508781702.9,-12561.3284107699
3,18,1.7,13804760594.9783,-16998.1510603461
4,18,1.98,1368399992665.54,-18033.3473054849
5,18,2.16,2200524017488478,-7601.97688737199
6,18,1.92,64988983360264.5,-5735.67987010324
7,18,2.01,186986707354445,-7102.34233142018
8,18,1.89,16165084737017.3,-7869.29361997578
9,18,1.75,901047110979.331,-8816.7352717282
10,18,1.97,43074740603559.4,-8986.22802119184
11,18,2.05,183634296937084,-8923.02466329465
12,18,1.92,12997913142210.9,-9749.59567567446
13,18,2.11,936970660938559,-7518.22429535129
14,18,1.88,58405158656081.1,-4219.8775200769
15,18,2,245888730955730,-5975.18054159221
16,18,2.11,2193022819889254,-5397.3661402053
17,18,1.99,480086703195928,-3862.14992448931
18,18,2.04,828600999132825,-4721.37848286379
19,18,2.14,3438142122201808,-5604.16708331498
20,18,2.03,424094665597622,-5947.98624153122
21,18,1.96,127598761818548,-5833.15324145409
22,18,1.96,51466475652326,-8097.60555565078
23,18,1.85,3159217092138.14,-10157.0313252969
24,18,1.78,46358867493.8376,-17558.9871451394
25,18,1.84,72949693048.2061,-19108.9105123585
26,18,1.97,12682883969835.2,-12035.6004079725
27,18,2.14,946630349996499,-8820.87302785834
28,18,2.14,917448921630853,-8898.96458707552
29,18,2,103625465366063,-8130.23600576488
30,18,2.24,9445165689123542,-7503.67194255955
31,18,1.94,25338734908869.7,-8975.04940584657
32,18,2.02,70935672818667.2,-9963.76313822978
33,18,1.78,689315717165.416,-10826.9658619224
34,18,1.9,13287601536477.6,-8803.78757167402
35,18,2.14,1249363593826876,-8128.83567164264
36,18,2.02,547858266979251,-4865.42068004384
37,18,1.9,60109687286963.5,-5039.49453557913
38,18,2.03,734402416398240,-4578.52976568652
39,18,2.03,538908064331071,-5350.45304371062
40,18,1.96,197330603639125,-4745.79456562197
1,19,1.93,8963461381660.53,-11121.6676707033
2,19,2.28,186275801538228,-19059.9584170423
3,19,2.11,18581755315517,-17295.8808840952
4,19,1.99,45491275125500.3,-9739.12666539189
5,19,2.08,765084849776007,-6694.37136745284
6,19,1.97,130806751863209,-6215.93198443341
7,19,1.96,78730088099118.8,-7037.41922744857
8,19,1.81,4045805406769.38,-7754.16531771688
9,19,1.99,52770710802207.2,-9368.92786733918
10,19,2.04,130286403467758,-9335.28747291441
11,19,1.75,434586981727.559,-10635.2638804195
12,19,2.11,630320281402722,-8506.9054936418
13,19,1.99,120758448053460,-7304.30504266126
14,19,1.76,4327812526131.09,-5350.54090784542
15,19,1.9,91169476366334.1,-4000.62098689712
16,19,2.06,1567395467186579,-4018.91265226393
17,19,2.04,1035954378091962,-4164.36939624246
18,19,1.96,156158771045467,-5329.40867310597
19,19,1.91,91033295121454.1,-4449.83164911343
20,19,2.01,342734191179574,-5591.18367929067
21,19,1.99,134047720877290,-7043.92244121169
22,19,2.1,787536109000380,-7508.55842114938
23,19,1.92,17614260031602,-8991.61923058885
24,19,2.11,355718015820619,-9933.69732213703
25,19,1.72,26180445696.8916,-16298.3803240126
26,19,1.68,14242916567.3977,-16023.2425268551
27,19,1.89,179249509143.952,-19096.8581164874
28,19,2.13,231804991139111,-11887.3366330504
29,19,2.09,488465601561431,-8256.69318271367
30,19,2.07,205587584357627,-9528.43265548137
31,19,1.99,47896118347660.3,-9610.65096770674
32,19,1.6,18486151313.1393,-11778.8904138516
33,19,1.97,52737205556399.4,-8481.48124324801
34,19,2.01,75260556153154.2,-9372.08523270159
35,19,2.18,3370240187172951,-7423.24556521606
36,19,2.02,345029128463099,-6018.61578541055
37,19,2.06,646449323592303,-6227.78803093631
38,19,2.07,1247918853186002,-5030.85186542246
39,19,2.03,560728513627118,-5251.46152939816
40,19,1.94,78250719427370.2,-6162.85547259026
1,20,2.06,191581046757361,-9260.95060173115
2,20,1.74,5771914349.37917,-20965.1326472518
3,20,1.93,2287233932633.83,-14528.0059648464
4,20,1.77,3256907791114.03,-6506.94239285373
5,20,1.84,11390353315606.8,-6512.33500313779
6,20,1.92,33456306741889,-7391.6396493706
7,20,1.88,8192057920982.09,-9118.68978654605
8,20,1.77,1269065195280.99,-8857.53153737423
9,20,2.05,84044282197708.7,-10872.3411343682
10,20,1.91,28520235149002.3,-7344.39667895195
11,20,1.8,3924062059608.7,-7383.53081142307
12,20,1.85,1822699042366.14,-11528.7459111921
13,20,1.77,814502413517.543,-9963.51691289085
14,20,1.84,7482381023481.65,-7560.35305072796
15,20,1.96,245222614438328,-4203.88349326233
16,20,1.88,72628682359064,-3676.29600791607
17,20,1.82,22438793946720.1,-3928.36301690812
18,20,1.9,53714231447513.3,-5320.0521540023
19,20,1.88,49794198823727.3,-4617.68481399726
20,20,2.09,653993989373243,-7528.87138659773
21,20,1.91,43175027892479.2,-6310.26349578555
22,20,1.93,60435269430356.1,-6362.07717363824
23,20,1.82,10774768073286.9,-5757.92206728214
24,20,1.76,1273809461539.28,-8400.82819981953
25,20,1.62,7412262401.11662,-14957.5552303372
26,20,1.71,26771874877.634,-15794.546512491
27,20,1.68,13637959490.3706,-16131.4887519017
28,20,1.67,41673418419.2574,-12896.9596450266
29,20,1.94,17865999748344.2,-9846.53979151763
30,20,1.97,37410049363948.6,-9337.87551815141
31,20,1.66,58340793104.0909,-11609.0168253742
32,20,1.93,5833978542255.38,-12192.7341118481
33,20,2.14,1587140834969327,-7532.02176151756
34,20,2.04,164258322136261,-8757.41472207636
35,20,1.99,118806463453619,-7344.94836810447
36,20,1.81,5371436775800.72,-7047.328840503
37,20,1.98,159364104010831,-6168.01915719369
38,20,2.26,12553648877945980,-7676.71563280768
39,20,1.84,8791898381768.25,-7158.12173077246
40,20,1.83,10325129973998.4,-6310.79019247659
1,21,1.63,74990792021.7312,-9635.34777553705
2,21,1.91,232052353707.28,-19344.0435193138
3,21,2.04,38945507411997.5,-12346.9713115548
4,21,1.93,38319554186447.9,-7498.37486439959
5,21,2.11,1851751567236825,-5819.2234741162
6,21,2.03,266185749160385,-7109.59748765286
7,21,1.76,1791856696278.65,-7549.77475188809
8,21,1.9,8691846550552.17,-9862.35583832506
9,21,1.74,870619510040.104,-8454.72676235125
10,21,1.83,4124029424069.11,-8599.6587575251
11,21,1.93,51657451239464.6,-6753.48158376616
12,21,1.75,2071613744788.34,-6740.41636119036
13,21,1.6,34710147389.5326,-10207.6449698493
14,21,1.82,6154030512617.43,-7154.81115845832
15,21,2.1,1828237811095358,-5408.1150758327
16,21,1.92,125491975079114,-4094.56790394658
17,21,1.96,217560686093310,-4502.38686220786
18,21,1.92,144794373781662,-3737.74431290587
19,21,1.9,73337239751777,-4543.44414335294
20,21,2.02,785582556891753,-3966.56079204372
21,21,1.91,82924966816356.3,-4682.494752766
22,21,2.02,119670990913452,-8659.4690119095
23,21,1.98,125799280186535,-6757.85994420428
24,21,1.94,31246891059046.7,-8452.3428292989
25,21,1.88,3289954216547.15,-11393.9447625242
26,21,2.08,26316183912670.6,-15098.6591381226
27,21,1.78,209528909078.87,-13796.9150123791
28,21,1.86,553588104998.353,-14946.8769521899
29,21,1.8,234453979480.218,-14410.68336372
30,21,2,25770861208946.4,-11600.7334266858
31,21,1.83,1212439500395.26,-11652.8042174033
32,21,1.98,35328566830277.1,-9925.22928746254
33,21,2.19,2674346861885887,-8442.09762658222
34,21,2.03,132638640224771,-8846.83291827641
35,21,2.15,573568698183613,-10512.9516671645
36,21,1.96,50769773609730.8,-8131.59744805092
37,21,2.15,4721798627335334,-5255.43168599076
38,21,2,206623298210387,-6409.09115188687
39,21,2.1,833102403480829,-7368.27754118804
40,21,2.16,2413182537799999,-7371.90311865204
1,22,1.5,4773041340.10154,-10648.9936375677
2,22,1.94,1487361524061.52,-16046.3636427706
3,22,1.94,12339438353331.5,-10769.5665680022
4,22,2.07,52221274163251,-12946.1658161664
5,22,1.98,76182447268428.5,-8008.74194751363
6,22,1.82,9553903679689.44,-6057.84371859912
7,22,1.99,318287347024322,-4887.21419536523
8,22,2.14,816893104670584,-9188.4897042891
9,22,2,118777269579510,-7789.88743045955
10,22,2.04,155409841566456,-8895.51886749797
11,22,1.95,89687380764754.5,-6267.60581309935
12,22,1.77,2429414025351.44,-7238.00394524175
13,22,2,194599929839314,-6558.61021973977
14,22,1.93,49838136162058.5,-6842.90138964205
15,22,1.95,172208430447795,-4640.58138693222
16,22,1.81,25000105526995.3,-3212.09400523109
17,22,2.02,692620437330579,-4280.66366551713
18,22,1.99,547826715087969,-3532.96111743858
19,22,2.05,550804146991351,-6183.53267991899
20,22,2.09,2020824799927006,-4715.23320628071
21,22,2.05,855105195340828,-5086.55874863558
22,22,2.06,453515208073342,-7111.82624858757
23,22,2.09,1077539368523973,-6283.52441635828
24,22,2.16,2743402335613791,-7052.04151588668
25,22,1.94,78934107592467.3,-6141.1691450356
26,22,1.73,215370006815.535,-11490.6362714262
27,22,1.96,6814514284674.37,-13140.1639165633
28,22,2.1,34395954184894.1,-15317.1982889673
29,22,2.04,6915832558466.93,-16657.4763772692
30,22,2.03,19030028362648.8,-13689.2089266363
31,22,1.83,1457046934899.64,-11194.4636459821
32,22,1.76,340379680904.237,-11692.1738729908
33,22,2.21,2377995240504928,-9618.75231341145
34,22,1.91,13479733334550.8,-9213.46641380433
35,22,1.79,252242687567.732,-13781.3174337495
36,22,2.04,89454878408320.2,-10273.0334294283
37,22,1.8,5380877258521.36,-6596.11499801931
38,22,2.06,570989051852354,-6537.35521610659
39,22,2.23,4056926352319868,-9169.82251315114
40,22,2.06,105837458882940,-10740.9062363485
1,23,1.73,79576359785.0955,-13973.7635531921
2,23,1.98,2341964699706.86,-16693.2013346569
3,23,1.64,22708619990.7141,-13064.05782323
4,23,1.93,1041897406391.96,-16489.0374607231
5,23,2.13,80129290833490.5,-14536.6005961061
6,23,2.18,811642930847589,-10973.9004671088
7,23,2.03,448088609209470,-5810.73068974665
8,23,2.03,72132773582004.6,-10365.9780521066
9,23,2.05,257126533951618,-8083.48926933149
10,23,2.15,1961858825100608,-7445.90537205317
11,23,1.96,106865453661131,-6275.38948717722
12,23,2.06,163706426139465,-9653.09768592862
13,23,2.11,1345427492369149,-6615.85741181187
14,23,1.9,22466435621107.4,-7493.96106771493
15,23,1.79,5356953397269.23,-6160.2544217812
16,23,1.98,516207047014731,-3236.7800747462
17,23,1.99,490003239144914,-3811.15939034715
18,23,1.98,324692086688209,-4393.07486906264
19,23,1.95,199509510966986,-4273.5734223139
20,23,1.93,122957514968837,-4590.67371112212
21,23,1.96,330553606020701,-3459.16907144185
22,23,2.09,916186448302140,-6688.08979375192
23,23,1.9,22995594981912.3,-7435.90017461737
24,23,1.96,12266718719889.3,-11674.1034044509
25,23,2.09,284207427898191,-9607.35554715997
26,23,1.82,3357216231450.7,-8666.16295539407
27,23,1.88,3121299377760.77,-11525.1896828843
28,23,1.72,164967235939.718,-11707.5894799684
29,23,1.89,767719701122.557,-15468.9711098442
30,23,2,4171003663701.2,-16142.5262741077
31,23,1.86,476966735269.628,-15318.4185230926
32,23,1.87,845433535447.734,-14336.8602351298
33,23,1.99,7797251639358.22,-14137.9172560106
34,23,1.69,21444296925.0669,-15451.2650085065
35,23,1.87,140643297553.595,-18810.1551867232
36,23,2.33,17066960922130766,-9996.35298784057
37,23,2.13,2065098822731223,-6432.86661061652
38,23,2.18,1775834343840801,-9021.18540489301
39,23,2.19,227024943081083,-14593.3006553374
40,23,1.82,101158054041.155,-17400.6079106726
1,24,2.2,1350363048552620,-10588.2545954166
2,24,1.83,1885560003254.44,-10551.4777230654
3,24,1.72,340852876312.752,-9897.68357353382
4,24,1.96,1448568218399.81,-17002.0709368406
5,24,1.96,17371241067168.5,-10806.3753952588
6,24,1.86,7996332180724,-8287.10555440684
7,24,1.93,64679707748635.7,-6192.79779455862
8,24,1.65,65738438551.3671,-10862.2590395925
9,24,2.1,356590735536108,-9484.60574127693
10,24,2.07,897069096998503,-5854.120355173
11,24,1.82,4525913412266.83,-7921.18697958889
12,24,1.82,5725535566768.04,-7334.80598465752
13,24,1.89,26801411477161.9,-6608.32497532798
14,24,1.95,108587081353441,-5790.69722807223
15,24,2.06,571863340952224,-6533.53936472602
16,24,1.98,220767115875173,-5355.18259563856
17,24,1.95,130577594371777,-5330.76572237609
18,24,1.9,71053592661802.3,-4622.3396064156
19,24,1.93,207205095130325,-3289.12940356138
20,24,2.09,2421308690081754,-4264.31194547488
21,24,1.89,70151438130380.4,-4208.5938010027
22,24,2.1,1687174299625906,-5608.37689283989
23,24,2.04,311865095589790,-7158.43554239477
24,24,2.15,3878477632062643,-5746.11889940496
25,24,2.11,609151054300003,-8592.10502236855
26,24,1.85,6426620219751.76,-8385.9807424358
27,24,1.85,2433540605236.26,-10807.9079761588
28,24,1.77,475475658377.988,-11305.9415981423
29,24,1.91,1421643836164.77,-14823.4038973861
30,24,2.06,10515358537227.4,-16499.7208412507
31,24,1.73,74883876719.6537,-14125.3450270847
32,24,1.85,588376209627.324,-14348.7294590956
33,24,2.07,7050895355027.09,-17939.9901875685
34,24,1.83,23153099548.3027,-21524.707310122
35,24,2.02,1432988670875.28,-19695.379087954
36,24,2.43,25651337501324080,-13378.9844557944
37,24,2.18,1434798943733701,-9553.02001822426
38,24,1.96,1062183904158.92,-17775.8308390575
39,24,1.99,488792705569.299,-21045.2700074676
40,24,1.69,785972657.255852,-23697.1572733842
1,25,1.99,167085484967962,-6494.47003699045
2,25,2,122428603135623,-7714.37416477407
3,25,2.05,129947162890432,-9785.49559003187
4,25,1.53,2660202800.71957,-13460.7359879808
5,25,1.66,98439049130.7637,-10304.3156233328
6,25,1.78,242267660567.523,-13434.8325267549
7,25,1.8,696576836355.844,-11694.9199117567
8,25,1.69,126263685460.13,-11029.6181669793
9,25,2.07,720714438727956,-6400.0317514694
10,25,2.06,687285448753630,-6075.01831797544
11,25,1.75,1208956306803.43,-8083.61108688284
12,25,1.63,111099437745.236,-8655.05538015852
13,25,1.81,7592606061543.2,-6184.20667139612
14,25,2.07,1344464937042763,-4845.00180057199
15,25,2.09,1018645329934955,-6423.70328412583
16,25,1.92,70360867707052.5,-5537.60767845712
17,25,1.92,176517938453595,-3243.66325667131
18,25,2.15,7188789821931404,-4207.12105583477
19,25,2.01,321034238609129,-5754.30977013044
